醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
5901103629,十二願藥局,臺北市中山區林森北路３０９號,(02)25311223,3832,0,2020/04/19 07:38:32
5903190586,樹孝炘星藥局,臺中市太平區樹孝路４７６號１樓,(04)23929578,2403,0,2020/04/19 07:38:32
5903200194,博德藥局,臺中市大里區成功２路１０４號１樓,(04)24968642,2970,170,2020/04/19 07:38:32
5903280665,和平藥師藥局,臺中市南屯區大墩十街１９２號,(04)23260008,2150,0,2020/04/19 07:38:32
5903290992,益川健保藥局,臺中市北屯區昌平路二段４７－１號１樓,(04)24213696,3704,0,2020/04/19 07:38:32
5903291006,五和健保藥局,臺中市北屯區崇德路二段４６０號１樓,(04)22415533,2208,0,2020/04/19 07:38:32
5905310979,復華藥師藥局,臺南市永康區復興里復華一街１３１號１樓,(06)3123597,1620,90,2020/04/19 07:38:32
5905320779,安麗兒藥局仁和店,臺南市東區仁和路１０５－１號１樓,(06)2908000,2866,129,2020/04/19 07:38:32
5907320973,振源藥局,高雄市三民區熱河一街３５５號１樓,(07)3112541,2483,0,2020/04/19 07:38:32
5907320982,康圓藥局,高雄市三民區大豐二路３５９．３６１號１樓,(07)3909978,2448,0,2020/04/19 07:38:32
5911011629,百福新豐活力藥局,基隆市中正區新豐街４０５號,(02)24699990,2943,0,2020/04/19 07:38:32
5911020084,北安藥局,基隆市七堵區福二街１３５號,(02)24514008,1791,100,2020/04/19 07:38:32
5911021170,康蘋藥局,基隆市七堵區開元路５９－２號２樓,(02)24558150,1989,0,2020/04/19 07:38:32
5911071376,祐康藥局,基隆市信義區信一路１１５號１樓,(02)24279521,3498,0,2020/04/19 07:38:32
5912010484,聖心藥局,新竹市東區南大里食品路２６９號,(03)5610697,405,400,2020/04/19 07:38:32
5912013449,小樹藥局,新竹市東區慈濟路３號３樓,(03)5670099,6,0,2020/04/19 07:38:32
5917030128,太信藥局,臺中市西區三民路一段９５－１號１樓,(04)23718318,4298,209,2020/04/19 07:38:32
5921041826,佳家藥局,臺南市北區大公里忠義路三段２２號１樓,(06)2252165,2259,200,2020/04/19 07:38:32
5922013031,德昌藥局,嘉義市東區中央里吳鳳北路２１１號,(05)2280306,2460,0,2020/04/19 07:38:32
5931025825,美康中正北藥局,新北市三重區中正北路１４９號１樓２樓,(02)29882836,918,0,2020/04/19 07:38:32
593106A977,丹鳳藥局,新北市新莊區中正路７４５、７４７號（１樓）,(02)29065755,4545,250,2020/04/19 07:38:32
5931141799,群欣藥局,新北市蘆洲區長安街１１８號２樓,(02)22894815,3357,200,2020/04/19 07:38:32
5931250015,松南藥局,新北市雙溪區中華路２９號,(02)24931085,1908,0,2020/04/19 07:38:32
5932051472,康而美聖安藥師藥局,桃園市蘆竹區南山路一段二之一號,(03)3228753,2545,0,2020/04/19 07:38:32
5932052004,英登藥局,桃園市蘆竹區南崁路三四四號,(03)2124606,2617,222,2020/04/19 07:38:32
5933050424,健安藥局,新竹縣竹北市中山路４５８號,(03)5536591,3132,200,2020/04/19 07:38:32
5933080119,建仁藥局,新竹縣新豐鄉建興路一段１２２號,(03)5595850,1638,200,2020/04/19 07:38:32
5934030033,仁大藥局,宜蘭縣蘇澳鎮中原路４７號,(039)967528,2322,0,2020/04/19 07:38:32
5934051229,廣福藥師藥局,宜蘭縣礁溪鄉礁溪路１段６６號,(03)9285887,1307,200,2020/04/19 07:38:32
